,报道时间,新增确诊,新增出院,新增死亡,累计确诊,累计出院,累计死亡
93,4月3日,0.0,141.0,4.0,50331.0,45889.0,3858.0
94,4月4日,1.0,150.0,4.0,50332.0,46039.0,3862.0
95,4月5日,0.0,183.0,3.0,50332.0,46222.0,3865.0
96,4月6日,0.0,69.0,1.0,50332.0,46291.0,3866.0
97,4月7日,0.0,59.0,0.0,50332.0,46350.0,3866.0
98,4月8日,0.0,69.0,1.0,50332.0,46419.0,3867.0
99,4月9日,0.0,45.0,2.0,50332.0,46464.0,3869.0
100,5月10日,1.0,0.0,0.0,50333.0,46464.0,3869.0
101,5月11日,5.0,0.0,0.0,50338.0,46464.0,3869.0
102,5月19日,1.0,0.0,0.0,50339.0,46464.0,3869.0
103,5月25日,0.0,1.0,0.0,50339.0,46465.0,3869.0
